Colony_ID,Ind_ant,Site,Date,CTmax_C,Treatment,Collection_date,Worker_count,Winter_days
6187,D,U3,20220426,47,Urban,Mid,96,49
6187,E,U3,20220426,47.5,Urban,Mid,96,49
6187,F,U3,20220426,47.5,Urban,Mid,96,49
6187,G,U3,20220426,45.5,Urban,Mid,96,49
6187,H,U3,20220426,49,Urban,Mid,96,49
6187,I,U3,20220426,47.5,Urban,Mid,96,49
6187,J,U3,20220426,49.5,Urban,Mid,96,49
5716,A,U3,20220426,47.5,Urban,Mid,71,49
5716,B,U3,20220426,44.5,Urban,Mid,71,49
5716,C,U3,20220426,47,Urban,Mid,71,49
5716,D,U3,20220426,41.5,Urban,Mid,71,49
5716,E,U3,20220426,45.5,Urban,Mid,71,49
5716,F,U3,20220426,43.5,Urban,Mid,71,49
5716,G,U3,20220426,45.5,Urban,Mid,71,49
8462,A,U3,20220426,42,Urban,Mid,42,49
8462,B,U3,20220426,41.5,Urban,Mid,42,49
8462,C,U3,20220426,43.5,Urban,Mid,42,49
8462,D,U3,20220426,41.5,Urban,Mid,42,49
8462,E,U3,20220426,41.5,Urban,Mid,42,49
8462,F,U3,20220426,45,Urban,Mid,42,49
8462,G,U3,20220426,39.5,Urban,Mid,42,49
8462,H,U3,20220426,49,Urban,Mid,42,49
8462,I,U3,20220426,51,Urban,Mid,42,49
9212,A,U1,20220426,43.5,Urban,Mid,25,49
9212,B,U1,20220426,48.5,Urban,Mid,25,49
9212,C,U1,20220426,41.5,Urban,Mid,25,49
9212,D,U1,20220426,41.5,Urban,Mid,25,49
9212,E,U1,20220426,47.5,Urban,Mid,25,49
9212,F,U1,20220426,41,Urban,Mid,25,49
1579,A,U1,20220426,47,Urban,Mid,101,49
1579,B,U1,20220426,45.5,Urban,Mid,101,49
1579,C,U1,20220426,44.5,Urban,Mid,101,49
1579,D,U1,20220426,44,Urban,Mid,101,49
1579,E,U1,20220426,46,Urban,Mid,101,49
1579,F,U1,20220426,46,Urban,Mid,101,49
1579,G,U1,20220426,45.5,Urban,Mid,101,49
1579,H,U1,20220426,46.5,Urban,Mid,101,49
1579,I,U1,20220426,43,Urban,Mid,101,49
1579,J,U1,20220426,42.5,Urban,Mid,101,49
3538,A,R2,20220426,45.5,Rural,Mid,24,34
3538,B,R2,20220426,43.5,Rural,Mid,24,34
3538,C,R2,20220426,49,Rural,Mid,24,34
3538,D,R2,20220426,47,Rural,Mid,24,34
1301,A,R2,20220426,44,Rural,Mid,64,34
1301,B,R2,20220426,40.5,Rural,Mid,64,34
1301,C,R2,20220426,41.5,Rural,Mid,64,34
1301,D,R2,20220426,48.5,Rural,Mid,64,34
1301,E,R2,20220426,49,Rural,Mid,64,34
1301,F,R2,20220426,41.5,Rural,Mid,64,34
1301,G,R2,20220426,37.5,Rural,Mid,64,34
1301,H,R2,20220426,39.5,Rural,Mid,64,34
7545,A,R2,20220427,48.5,Rural,Late,75,34
7545,B,R2,20220427,47,Rural,Late,75,34
7545,C,R2,20220427,45.5,Rural,Late,75,34
7545,D,R2,20220427,43,Rural,Late,75,34
7545,E,R2,20220427,49.5,Rural,Late,75,34
7545,F,R2,20220427,44,Rural,Late,75,34
7545,G,R2,20220427,44,Rural,Late,75,34
7545,H,R2,20220427,47.5,Rural,Late,75,34
7545,I,R2,20220427,46,Rural,Late,75,34
7545,J,R2,20220428,46.5,Rural,Late,75,34
9753,A,R2,20220427,44.5,Rural,Late,16,34
9753,B,R2,20220427,42,Rural,Late,16,34
9753,C,R2,20220427,47.5,Rural,Late,16,34
9753,D,R2,20220427,44.5,Rural,Late,16,34
9753,E,R2,20220427,37,Rural,Late,16,34
9753,F,R2,20220427,47.5,Rural,Late,16,34
9753,G,R2,20220427,48.5,Rural,Late,16,34
9753,H,R2,20220427,48,Rural,Late,16,34
9753,I,R2,20220427,40.5,Rural,Late,16,34
9753,J,R2,20220428,41.5,Rural,Late,16,34
6481,A,R2,20220427,46.5,Rural,Late,96,34
6481,B,R2,20220427,48.5,Rural,Late,96,34
6481,C,R2,20220427,48,Rural,Late,96,34
6481,D,R2,20220427,42.5,Rural,Late,96,34
6481,E,R2,20220427,42.5,Rural,Late,96,34
6481,F,R2,20220427,45,Rural,Late,96,34
6481,G,R2,20220427,46,Rural,Late,96,34
6481,H,R2,20220427,42.5,Rural,Late,96,34
6481,I,R2,20220427,49,Rural,Late,96,34
6481,J,R2,20220427,47.5,Rural,Late,96,34
3488,A,U2,20220428,43,Urban,Late,30,34
3488,B,U2,20220428,41.5,Urban,Late,30,34
3488,C,U2,20220428,48,Urban,Late,30,34
3488,D,U2,20220428,48.5,Urban,Late,30,34
3488,E,U2,20220428,46.5,Urban,Late,30,34
3488,F,U2,20220428,47.5,Urban,Late,30,34
3488,G,U2,20220428,43.5,Urban,Late,30,34
3488,H,U2,20220428,46.5,Urban,Late,30,34
3488,I,U2,20220428,46,Urban,Late,30,34
3488,J,U2,20220428,43,Urban,Late,30,34
2158,A,R2,20220428,48,Rural,Late,74,34
2158,B,R2,20220428,48,Rural,Late,74,34
2158,C,R2,20220428,47.5,Rural,Late,74,34
2158,D,R2,20220428,49,Rural,Late,74,34
2158,E,R2,20220428,50,Rural,Late,74,34
2158,F,R2,20220428,50,Rural,Late,74,34
2158,G,R2,20220428,41.5,Rural,Late,74,34
2158,H,R2,20220428,47.5,Rural,Late,74,34
2158,I,R2,20220428,45,Rural,Late,74,34
2158,J,R2,20220428,48.5,Rural,Late,74,34
8732,A,R2,20220428,47.5,Rural,Late,68,34
8732,B,R2,20220428,47.5,Rural,Late,68,34
8732,C,R2,20220428,47,Rural,Late,68,34
8732,D,R2,20220428,47,Rural,Late,68,34
8732,E,R2,20220428,49,Rural,Late,68,34
8732,F,R2,20220428,41,Rural,Late,68,34
8732,G,R2,20220428,43.5,Rural,Late,68,34
8732,H,R2,20220428,42.5,Rural,Late,68,34
8732,I,R2,20220428,42.5,Rural,Late,68,34
8732,J,R2,20220428,44.5,Rural,Late,68,34
2504,A,R2,20220428,48.5,Rural,Late,65,34
2504,B,R2,20220428,50.5,Rural,Late,65,34
2504,C,R2,20220428,49.5,Rural,Late,65,34
2504,D,R2,20220428,50,Rural,Late,65,34
2504,E,R2,20220428,48.5,Rural,Late,65,34
2504,F,R2,20220428,47.5,Rural,Late,65,34
2504,G,R2,20220428,47,Rural,Late,65,34
2504,H,R2,20220428,43,Rural,Late,65,34
2504,I,R2,20220428,44,Rural,Late,65,34
2504,J,R2,20220428,38.5,Rural,Late,65,34
3478,A,R2,20220428,47,Rural,Late,21,34
3478,B,R2,20220428,45,Rural,Late,21,34
3478,C,R2,20220428,41.5,Rural,Late,21,34
3478,D,R2,20220428,47.5,Rural,Late,21,34
3478,E,R2,20220428,46,Rural,Late,21,34
3478,F,R2,20220428,44,Rural,Late,21,34
3478,G,R2,20220428,43.5,Rural,Late,21,34
2906,A,R2,20220429,49.5,Rural,Late,91,34
2906,B,R2,20220429,48,Rural,Late,91,34
2906,C,R2,20220429,49,Rural,Late,91,34
2906,D,R2,20220429,46,Rural,Late,91,34
2906,E,R2,20220429,43.5,Rural,Late,91,34
2906,F,R2,20220429,49,Rural,Late,91,34
2906,G,R2,20220429,46.5,Rural,Late,91,34
2906,H,R2,20220429,48,Rural,Late,91,34
2906,I,R2,20220429,47.5,Rural,Late,91,34
2906,J,R2,20220429,48,Rural,Late,91,34
1121,A,R2,20220429,47.5,Rural,Late,62,34
1121,B,R2,20220429,48,Rural,Late,62,34
1121,C,R2,20220429,48.8,Rural,Late,62,34
1121,D,R2,20220429,48,Rural,Late,62,34
1121,E,R2,20220429,47.5,Rural,Late,62,34
1121,F,R2,20220429,43,Rural,Late,62,34
1121,G,R2,20220429,46.5,Rural,Late,62,34
1121,H,R2,20220429,44,Rural,Late,62,34
1121,I,R2,20220429,48.5,Rural,Late,62,34
1121,J,R2,20220429,48.5,Rural,Late,62,34
6892,A,R2,20220429,50.5,Rural,Late,38,34
6892,B,R2,20220429,50.5,Rural,Late,38,34
6892,C,R2,20220429,50,Rural,Late,38,34
6892,D,R2,20220429,46.5,Rural,Late,38,34
6892,E,R2,20220429,49,Rural,Late,38,34
6892,F,R2,20220429,47,Rural,Late,38,34
6892,G,R2,20220429,46.5,Rural,Late,38,34
6892,H,R2,20220429,46.5,Rural,Late,38,34
6892,I,R2,20220429,48.5,Rural,Late,38,34
6892,J,R2,20220429,36,Rural,Late,38,34
3309,A,R1,20220429,47.5,Rural,Late,21,34
3309,B,R1,20220429,47,Rural,Late,21,34
3309,C,R1,20220429,48,Rural,Late,21,34
3309,D,R1,20220429,48.5,Rural,Late,21,34
3309,E,R1,20220429,46.5,Rural,Late,21,34
3309,F,R1,20220429,48.5,Rural,Late,21,34
3309,G,R1,20220429,43,Rural,Late,21,34
3309,H,R1,20220429,47,Rural,Late,21,34
3309,I,R1,20220429,49.5,Rural,Late,21,34
3309,J,R1,20220429,46,Rural,Late,21,34
7783,A,R1,20220502,46.5,Rural,Late,5,34
7783,B,R1,20220502,48.5,Rural,Late,5,34
7783,C,R1,20220502,48.5,Rural,Late,5,34
5980,A,R1,20220502,46,Rural,Late,31,34
5980,B,R1,20220502,46,Rural,Late,31,34
5980,C,R1,20220502,40.5,Rural,Late,31,34
5980,D,R1,20220502,45,Rural,Late,31,34
5980,E,R1,20220502,49,Rural,Late,31,34
5980,F,R1,20220502,47.5,Rural,Late,31,34
5980,G,R1,20220502,47.5,Rural,Late,31,34
